
        13 atoms

  1 atom types

 -20.000000  20.000000  xlo xhi
 -20.000000  20.000000  ylo yhi
 -20.000000  20.000000  zlo zhi

 Masses

           1   58.6934

 Atoms

1   1   0   0.271614 -1.38237 4.30159
2   1   0   2.56093 -0.964465 0.85608
3   1   0   -0.535015 -2.34602 4.31926
4   1   0   1.31877 1.30223 4.62561
5   1   0   1.57988 -1.13787 4.22315
6   1   0   -1.40962 -0.709698 4.17973
7   1   0   -1.47744 -1.2788 2.43179
8   1   0   0.91454 -2.0654 1.17319
9   1   0   0.181433 2.32671 1.78065
10   1   0   1.07233 2.03485 1.73654
11   1   0   1.51916 0.646918 2.6924
12   1   0   3.58075 -0.450361 4.64101
13   1   0   1.5207 -0.168793 -0.097783
